Code;Identification;Désignation complète;Avis
PLAST-60;CASS0001;Vernier caliper Universel 0 / 150 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0002;Temperature Display / -50 / +650 °C (Tol:± 2 °C);Conforme
PLAST-60;CASS0003;Temperature Display / -50 / +650 °C (Tol:± 2°C);Conforme
PLAST-60;CASS0004;Micrometer outside / 0 / 25 mm (Tol:± 0,005 mm);Conforme
PLAST-60;CASS0005;Vernier caliper Universel 0 / 150 mm (Tol:± 0,01 mm);Classe 0
PLAST-60;CASS0006;Vernier caliper Universel 0 / 150 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0007;Vernier caliper Universel 0 / 150 mm (Tol:± 0,01 mm);Non conforme
PLAST-60;CASS0008;Vernier caliper Universel 0 / 150 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0010;Trigger torque spanner Réglable 0,5 / 2,5 N.m (Tol:± 6 %);Conforme
PLAST-60;CASS0011;Vernier caliper Universel 0 / 300 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0012;Vernier caliper Universel 0 / 150 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0013;Vernier caliper Universel 0 / 300 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0015;Trusquin / 0 / 450 mm (Tol:± 0,060 mm);Voir documents
PLAST-60;CASS0016;Vernier caliper Universel 0 / 300 mm (Tol:± 0,01 mm);Conforme
PLAST-60;CASS0017;Vernier caliper Universel 0 / 300 mm (Tol:± 0,060 mm);Conforme
PLAST-60;CASS0019;Multimeter Analogique et numérique According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Non conforme
PLAST-60;CASS0020;Current clamp meter / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Non conforme
PLAST-60;CASS0021;Chronometer àdéclenchement manuel 0/1 h (Tol:± 1 s);Conforme
PLAST-60;CASS0022;Multimeter Analogique et numérique According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0025;Scale Numérique 50/6100 g (Tol:± 5 g);Conforme
PLAST-60;CASS0026;Scale Numérique ;Voir résultats dans Certificat
PLAST-60;CASS0027;Multimeter Analogique et numérique According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0028;Trigger torque spanner Réglable 40/200 N.m (Tol:±4 %);Conforme
PLAST-60;CASS0029;Testeur de fuite / 1,3E-09 / 2,5E-06mbar.L/s (Tol:± 20 %);Voir résultats dans Certificat
PLAST-60;CASS0031;Multimeter Analogique et numérique According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0032;Trigger torque spanner Réglable 5 / 25 N.m (Tol:± 4 %);Conforme
PLAST-60;CASS0033;Temperature Display / 0 / 1000 °C (Tol:± 2 °C);Conforme
PLAST-60;CASS0050;Temperature sensor type J According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Voir résultats dans Certificat
PLAST-60;CASS0051;Temperature sensor type J According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Voir résultats dans Certificat
PLAST-60;CASS0056;Manomètre à aiguille Pression relative 0/12bar (Tol:tolérance constructeur);Voir résultats dans Certificat
PLAST-60;CASS0057; Manometer needle Pression relative 0/2 bars (Tol:+/- 10 mbar);Conforme
PLAST-60;CASS0059; Manometer needle Pression relative According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Voir résultats dans Certificat
PLAST-60;CASS0075; Manometer needle Pression relative 0/+4 bars (Tol:tolérance constructeur);Conforme
PLAST-60;CASS0076; Manometer needle Pression relative 0/+4 bars (Tol:tolérance constructeur);Voir résultats dans Certificat
PLAST-60;CASS0077; Manometer needle Pression relative 0/+4 bars (Tol:tolérance constructeur);Voir résultats dans Certificat
PLAST-60;CASS0078; Manometer needle Pression relative 0/+4 bars (Tol:tolérance constructeur);Voir résultats dans Certificat
PLAST-60;CASS0079; Manometer needle Pression relative 0/+10 bars (Tol:tolérance constructeur);Voir résultats dans Certificat
PLAST-60;CASS0080; Manometer needle Pression relative 0/+10 bars (Tol:tolérance constructeur);Voir résultats dans Certificat
PLAST-60;CASS0083;Chiller / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0084;Laser / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
PLAST-60;CASS0086;Manometer needle Pression relative / (Tol:/);Voir résultats dans Certificat
PLAST-60;CASS0087;Manometer needle Pression relative According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Voir résultats dans Certificat
PLAST-60;CASS0110;Leak detectors / According Manufacturer SpecTo be defined (Tol:According Manufacturer SpecTo be defined);Conforme
