Code;Identification;Localisation;Domaine de mesure;Famille d'instrument;Désignation;Etat d'utilisation;Fourniseur;Gestionnaire;Intervention;Périodicité Arg;Périodicité Nb;Procédure;Tolérance;Tolérance Arg;Durée (j);Durée (h);Durée (min);Seuil alerte;Seuil alerte Arg;Type périodicité;Calcul de périodicité;Date campagne;Anticipation;Nom intervention mise en sommeil;Nom intervention remise en service;Lieu d'intervention;Entrée/Sortie via mouvements;Prestataire;Détail;Coefficient d'utilisation
PLAST-60;CASS0001;PROTOTYPE / ASS / H. Parmentier;Dimensionnel;Variable;Vernier caliper;Non soumis à l'étalonnage;;E.BOUCAUX;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;Aucun;Oui;TRESCAL;;
PLAST-60;CASS0002;PROTOTYPE / ASS / Armoire;Température;Variable;Temperature Display;En service;;E.BOUCAUX;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;Aucun;Oui;A+ METROLOGIE;;
PLAST-60;CASS0003;PROTOTYPE / ASS / Armoire;Température;Variable;Temperature Display;En service;;E.BOUCAUX;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;A+ METROLOGIE;;
PLAST-60;CASS0004;PROTOTYPE / ASS / Armoire;Dimensionnel;Variable;Micrometer outside;Réformé;;E.BOUCAUX;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;A+MET-13;;
PLAST-60;CASS0005;PROTOTYPE / ASS / Armoire;Dimensionnel;Variable;Vernier caliper;Réformé;;E.BOUCAUX;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;TRESCAL;;
PLAST-60;CASS0006;PROTOTYPE / ASS / G. Thiant;Dimensionnel;Variable;Vernier caliper;Non soumis à l'étalonnage;;E.BOUCAUX;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;Aucun;Oui;A+MET-13;;
PLAST-60;CASS0007;PROTOTYPE / ASS / M. Nguyen;Dimensionnel;Variable;Vernier caliper;Réformé;;E.BOUCAUX;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;A+MET-18;;
PLAST-60;CASS0008;PROTOTYPE / ASS / A. Soyer;Dimensionnel;Variable;Vernier caliper;Non soumis à l'étalonnage;;E.BOUCAUX;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;A+MET-13;;
PLAST-60;CASS0010;PROTOTYPE / ASS / Armoire;Couple;Variable;Trigger torque spanner;En service;;E.BOUCAUX;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;TRESC-41;;
PLAST-60;CASS0011;PROTOTYPE / ASS / Armoire;Dimensionnel;Variable;Vernier caliper;Non soumis à l'étalonnage;;E.BOUCAUX;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;A+MET-13;;
