Affectation;Sous-Affectation;Désignation;Informations liées (Identification, Désignation, N° de série);Identification;Gamme;Tolérance;Avis;Etat d'utilisation;Date d'intervention;Prochaine date d'intervention;Périodicité;N° de série;Commentaire
ASS;A. SOYER;Multimeter;;CASS0027;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;Alerte Etalonnage/Vérification;05/07/2022 00:00;05/07/2023 00:00;12 Mois;20550506;
ASS;ZONE ADM;Testeur de fuite;;CASS0029;1,3E-09 / 2,5E-06mbar.L/s;± 20 %;;Réformé;;;;HLD1050697;
ASS;Y. SOUPLY;Micrometer Outside;;CASS0124;25 / 50 mm;± 0,01 mm;Conforme;Envoi Etalonnage/Vérification en cours;02/06/2021 00:00;02/06/2023 00:00;24 Mois;SANS;
ASS;Y. SOUPLY;Micrometer Outside;;CASS0125;0 / 25 mm;± 0,01 mm;Conforme;Envoi Etalonnage/Vérification en cours;02/06/2021 00:00;02/06/2023 00:00;24 Mois;SANS;
ASS;ARMOIRE;Temperature sensor;Identification : CASS0166, N° de Série : 337111083/511;CASS0155;40/300°C;± 1°C;;Perdu;;;;SANS;
ASS;ARMOIRE;Trigger torque spanner;;CASS0164;5/25Nm;± 4 %;Conforme;En service;22/08/2022 00:00;22/08/2023 00:00;12 Mois;sans;
ASS;ZONE ADM;Leak detectors;;CASS0170;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;Etalonnage/Vérification en cours;26/04/2021 00:00;26/04/2023 00:00;24 Mois;283-2284;
BMG;\;scale;;CBMG0096;0 / 50 kg ;±100g;Conforme;Alerte Etalonnage/Vérification;16/06/2021 14:14;16/06/2023 14:14;24 Mois;B510678268;
CAL;BENCH 4;Oscilloscope;;CCAL0002;GAMME CONSTRUCTEUR; TOLERANCE CONSTRUCTEUR;Conforme;Alerte Etalonnage/Vérification;22/07/2022 00:00;22/07/2023 00:00;12 Mois;my54230681;
CAL;BENCH 3;stabilised power supply;;CCAL0003; GAMME CONSTRUCTEUR; TOLERANCE CONSTRUCTEUR;Conforme;Alerte Etalonnage/Vérification;29/07/2021 15:27;29/07/2023 15:27;24 Mois;/;
CAL;BENCH 3;stabilised power supply;;CCAL0004;0/5V0/30V;5V +/-5%30V +/-5%;;Perdu;;;;MY54080008;"11/02/2019:

Voie 1 Hors service.

"
CAL;A-CAL-01;Electrics charge;;CCAL0050;0,1/100 ohms;Resistance mode +/- 0,5%;Conforme;En service;15/12/2020 11:24;15/12/2023 11:24;36 Mois;416337;
CAL;ARMOIRE;Stabilised power supply;;CCAL0059;0/52V 1500W;+/-1%;Conforme;Etalonnage/Vérification en cours;15/04/2021 13:09;15/04/2023 13:09;24 Mois;10128169;
CAL;GENERIC BENCH2;Stabilised power supply;;CCAL0063;0/52V 1500W;+/-1%;;Non soumis à l'étalonnage;;;;10072260;
CAL;GENERIC BENCH2;Stabilised power supply;;CCAL0064;0/45V 1500W;+/-1%;Conforme;Alerte Etalonnage/Vérification;28/06/2021 11:33;28/06/2023 11:33;24 Mois;10065089;
CAL;BANC MOBILE 2;Stabilised power supply;;CCAL0133;0-20V0-38 A;± 0,5 V± 0,1216 A;Conforme;En service;16/08/2021 10:45;16/08/2023 10:45;24 Mois;LOC-617A086-0012;
CAL;BANC MOBILE 2;Stabilised power supply;;CCAL0134;0-20V0-38 A;± 0,5 V± 0,1216 A;Conforme;En service;16/08/2021 13:51;16/08/2023 13:51;24 Mois;LOC-617A086-0013;
CAL;BANC MOBILE 2;Stabilised power supply;;CCAL0135;0-20V0-38 A;± 0,5 V± 0,1216 A;Conforme;En service;16/08/2021 14:01;16/08/2023 14:01;24 Mois;LOC-622A280-0002;
CAL;BANC MOBILE 2;Stabilised power supply;;CCAL0136;0-20V0-38 A;± 0,5 V± 0,1216 A;Conforme;En service;16/08/2021 13:32;16/08/2023 13:32;24 Mois;SANS;
CAL;ARMOIRE;Stabilised power supply;;CCAL0146;0/52V 1500W;+/-1%;Conforme;En service;26/08/2021 14:46;26/08/2023 14:46;24 Mois;10128139;
CAL;BANC MOBILE 1;Stabilised power supply;;CCAL0153;0-20V0-38 A;± 0,5 V± 0,1216 A;Conforme;En service;17/08/2021 12:18;17/08/2023 12:18;24 Mois;LOC-628A121-0003;
CAL;BANC MOBILE 1;Stabilised power supply;;CCAL0154;0-20V0-38 A;± 0,5 V± 0,1216 A;Conforme;En service;17/08/2021 12:26;17/08/2023 12:26;24 Mois;LOC-628A121-0002;
CAL;BANC MOBILE 1;Stabilised power supply;;CCAL0155;0-20V0-38 A;± 0,5 V± 0,1216 A;Conforme;En service;17/08/2021 12:39;17/08/2023 12:39;24 Mois;LOC-630A442-0004;
CAL;BANC MOBILE 1;Stabilised power supply;;CCAL0156;0-20V0-38 A;± 0,5 V± 0,1216 A;Conforme;En service;17/08/2021 12:54;17/08/2023 12:54;24 Mois;LOC-630A442-0003;
CAL;ARMOIRE;Ad scan;;CCAL0163;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Alerte Etalonnage/Vérification;03/08/2018 12:52;03/08/2023 12:52;60 Mois;13486-ADMD;
CAL;ARMOIRE;Ad scan;;CCAL0168;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;Alerte Etalonnage/Vérification;30/07/2018 00:00;30/07/2023 00:00;60 Mois;7976-ADMD;
CAL;ARMOIRE;Stabilised power supply;;CCAL0240;0-20V0-38 A;± 0,5 V± 0,1216 A;Conforme;En service;17/08/2021 15:46;17/08/2023 15:46;24 Mois;LOC-725A353-0007;
CAL;ARMOIRE;Stabilised power supply;;CCAL0246;0-20V0-38 A;± 0,5 V± 0,1216 A;Conforme;En service;17/08/2021 13:30;17/08/2023 13:30;24 Mois;LOC-724A022-0006;
CAL;BENCH 3;Stabilised power supply;;CCAL0354;REVOIR GAMME CONSTRUCTEUR;REVOIR TOLERANCE CONSTRUCTEUR;Conforme;Alerte Etalonnage/Vérification;29/07/2021 00:00;29/07/2023 00:00;24 Mois;122607QDV;
CAL;ARMOIRE;Pressure sensor;;CCAL0386;-1/16 Bar;+/-0,25 %FS;Conforme;Alerte Etalonnage/Vérification;02/07/2021 10:37;02/07/2023 10:37;24 Mois;19120001;
CAL;ARMOIRE;Pressure sensor;;CCAL0388;-1/16 Bar;+/-0,25 %FS;Conforme;Alerte Etalonnage/Vérification;29/07/2021 16:17;29/07/2023 16:17;24 Mois;19120008;
CAL;ARMOIRE;Pressure sensor;;CCAL0389;-1/16 Bar;+/-0,25 %FS;Conforme;Alerte Etalonnage/Vérification;29/06/2021 09:10;29/06/2023 09:10;24 Mois;19120004;
CAL;ARMOIRE;Pressure sensor;;CCAL0390;-1/16 Bar;+/-0,25 %FS;Conforme;Alerte Etalonnage/Vérification;29/06/2021 10:05;29/06/2023 10:05;24 Mois;19120006;
CAL;ARMOIRE;Pressure sensor;;CCAL0391;-1/16 Bar;+/-0,25 %FS;Conforme;Alerte Etalonnage/Vérification;29/06/2021 16:17;29/06/2023 16:17;24 Mois;19120005;
CAL;ARMOIRE;Pressure sensor;;CCAL0392;-1/16 Bar;+/-0,25 %FS;Conforme;Alerte Etalonnage/Vérification;29/07/2021 14:56;29/07/2023 14:56;24 Mois;19120007;
CAL;ARMOIRE;Multimeter;;CCAL0466;gammes constructeur;tolérance constructeur;Conforme;Alerte Etalonnage/Vérification;20/07/2021 00:00;20/07/2023 00:00;24 Mois;245308240;
CAL;ARMOIRE;Multimeter;;CCAL0715;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;Alerte Etalonnage/Vérification;25/07/2022 14:39;25/07/2023 14:39;12 Mois;MY45001493;
CAL;ARMOIRE;Générateur de fonction;;CCAL0716;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;Alerte Etalonnage/Vérification;01/08/2022 00:00;01/08/2023 00:00;12 Mois;532384;
CAL;A-CAL-01;Caliper;;CCAL0750;0-500 mm;± 0,1 mm;Conforme;Etalonnage/Vérification en cours;05/05/2021 00:00;05/05/2023 00:00;24 Mois;21531;
COM;COM-002_ BANC 1;Ohmmeter;;CCOM0028;5/400 400/650 Ohm;±1 Ohm  ±2 Ohm ;Conforme;Alerte Etalonnage/Vérification;08/07/2022 09:40;08/07/2023 09:40;12 Mois;NA;
COM;COM-002_ BANC 2;Ohmmeter;;CCOM0031;5/400 400/650 Ohm;±1 Ohm  ±2 Ohm ;Conforme;Alerte Etalonnage/Vérification;08/07/2022 09:45;08/07/2023 09:45;12 Mois;NA;
COM;A-COM-02;Multimeter;;CCOM0062;"0/600 Ohm; 0/6 kOhm; 0/60 V DC; 0/10 A DC";"±0,3 Ohm; ±1 Ohm; ±40 mV; ±50 mA";Conforme;Alerte Etalonnage/Vérification;05/07/2022 00:00;05/07/2023 00:00;12 Mois;31360855WS;
COM;A-COM-02;Digital Manometer;;CCOM0088;-350/350 mbar;±2,5 mbar;Conforme;Alerte Etalonnage/Vérification;29/06/2021 00:00;29/06/2023 00:00;24 Mois;11971907;
FEP;;Slide Gauge;;CDEV0008;0/150 mm;+/- 0,1mm;Conforme;En service;24/08/2021 00:00;24/08/2023 00:00;24 Mois;sans;
ZONE CALIBRATION;;Jauge de profondeur;;CDEV0009;0/300 mm;+/- 0,1mm;Conforme;Sommeil;24/08/2021 00:00;24/08/2023 00:00;24 Mois;15279;
EMI;ARMOIRE;Scale;;CEMI0004;At 220 g;±0,02 g;Conforme;Retard (dans tolérance) Etalonnage/Vérification;08/06/2021 11:25;08/06/2023 11:25;24 Mois;NA;
EMI;BANC HÉLIUM;Helium detector;;CEMI0005;1.10-6/1.10-4 mbar L/s;±10 %RV;Conforme;Alerte Etalonnage/Vérification;29/07/2021 00:00;29/07/2023 00:00;24 Mois;20037;02/05/2018: Selon préconisation fournisseur. Pas de non conformité sur les 3 dernières étalonnage.Passage à 2 ans. 
EMI;BANC PRÉC. CANISTERS;Scale;;CEMI0006;0/1 kg;±0,2 g;Conforme;Alerte Etalonnage/Vérification;14/06/2021 15:44;14/06/2023 15:44;24 Mois;NA;
EMI;BANC PRÉC. CANISTERS;Scale;;CEMI0007;0/1 kg;±0,2 g;Conforme;Alerte Etalonnage/Vérification;14/06/2021 15:47;14/06/2023 15:47;24 Mois;NA;
EMI;ARMOIRE;Scale;;CEMI0037;0/6 kg;±1 g;Conforme;Retard (dans tolérance) Etalonnage/Vérification;08/06/2021 11:30;08/06/2023 11:30;24 Mois;NA;
EPE;A-ATEX-01;Pressure gauge;;CEPE0006;-1/+3 bar;±10 mbar;;Perdu;;;;1000011904;
IVC;EPE-09\ IVC;Enceinte thermostatique;;CEPE0008;55°C;± 5°C;Conforme;En service;19/08/2019 16:37;19/08/2023 16:37;48 Mois;2004031;"40°C NON CONFORME, MAIS CONFORME à 53°C et 55°C UTILISABLE SUR C'EST POINT.
"
FEP;TABLE;RVP measuring device;;CEPE0010;0/20 Psi;±0,2 Psi;Conforme;Alerte Etalonnage/Vérification;16/06/2022 15:26;16/06/2023 15:26;12 Mois;16/08/2173;
EPE;A-ATEX-02;Field meter;;CEPE0035;-20/+20 kV;± 5% RV;Conforme;Sommeil;04/01/2021 15:39;;24 Mois;72313;04/05/2018:Attente PV: Rémi Grimeau
EPE;A-ATEX-02;Display of Field meter;;CEPE0039;-20/+20 kV;± 5% RV;Conforme;Envoi Envoi Etalonnage/Vérific en cours;28/10/2020 14:06;28/10/2022 14:06;24 Mois;160347/54877;04/05/2018:Attente PV: Rémi Grimeau
EPE;A-ATEX-02;Field meter;;CEPE0042;-20/+20 kV;± 5% RV;Conforme;Sommeil;04/01/2021 00:00;;24 Mois;73216;04/05/2018:Attente PV: Rémi Grimeau
EPE;A-ATEX-01;Pressure sensor;;CEPE0071;-500/ 500 mbar;±2 mbar;Conforme;Alerte Etalonnage/Vérification;05/03/2020 10:54;06/08/2023 10:54;24 Mois;5611853;
