Affectation;Sous-Affectation;Désignation;Informations liées (Identification, Désignation, N° de série);Identification;Gamme;Tolérance;Avis;Etat d'utilisation;Date d'intervention;Prochaine date d'intervention;Périodicité;N° de série;Commentaire
ASS;H. PARMENTIER;Pied à coulisse;;CASS0001;0 / 150 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;09191705;
ASS;ARMOIRE;Afficheur de température;;CASS0002;-50 / +650 °C;± 2 °C;Conforme;En service;07/07/2022 00:00:00;07/07/2024 00:00:00;24 Mois;309487;
ASS;ARMOIRE;Afficheur de température;;CASS0003;-50 / +650 °C;± 2°C;Conforme;En service;07/07/2022 10:07:05;07/07/2024 10:07:05;24 Mois;813353;
ASS;ARMOIRE;Micromètre d'extérieur;;CASS0004;0 / 25 mm;± 0,005 mm;;Réformé;;;;20376;
ASS;ARMOIRE;Pied à coulisse;;CASS0005;0 / 150 mm;± 0,01 mm;;Réformé;;;;1210242;
ASS;G. THIANT;Pied à coulisse;;CASS0006;0 / 150 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;9189804;
ASS;M. NGUYEN;Pied à coulisse;;CASS0007;0 / 150 mm;± 0,01 mm;;Réformé;;;;12569719;
ASS;A. SOYER;Pied à coulisse;;CASS0008;0 / 150 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;9189805;
ASS;ARMOIRE;Clé dynamométrique à déclenchement;;CASS0010;0,5 / 2,5 N.m;± 6 %;Conforme;En service;07/07/2022 14:14:00;07/07/2024 14:14:00;24 Mois;M041202;
ASS;ARMOIRE;Pied à coulisse;;CASS0011;0 / 300 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;15648;
ASS;F. MENETRIER;Pied à coulisse;;CASS0012;0 / 150 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;9189627;
ASS;ARMOIRE;Pied à coulisse;;CASS0013;0 / 300 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;15735;
ASS;ARMOIRE;Trusquin;;CASS0015;0 / 450 mm;± 0,060 mm;;Non soumis à l'étalonnage;;;;1670-05;
ASS;ARMOIRE;Pied à coulisse;;CASS0016;0 / 300 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;G/11 10576;
ASS;ARMOIRE;Pied à coulisse;;CASS0017;0 / 300 mm;± 0,060 mm;Conforme;En service;23/02/2022 00:00:00;23/02/2024 00:00:00;24 Mois;K/11 31696;
ASS;ARMOIRE;Multimètre;;CASS0019;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Réformé;;;;NA;Suite au mail de Simon DELAHOCHE: du 05/01/2018: réformé l'instrument CASS0019.
ASS;ARMOIRE;Pince ampèremétrique;;CASS0020;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Non soumis à l'étalonnage;;;;900949 KDF;"Suite au mail:  05/01/2018 de Simon DELAHOCHE.

Mettre en moyen d'approche.

"
QUA;ZONE CALIBRATION;Chronomètre;;CASS0021;0/1 h;± 1 s;Conforme;En service;14/05/2021 00:00:00;14/05/2024 00:00:00;36 Mois;SANS;
ASS;H. PARMENTIER;Multimètre;;CASS0022;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;Alerte Etalonnage/Vérification;10/11/2021 00:00:00;10/11/2022 00:00:00;12 Mois;10890146;
ASS;ASS-035 (PHOENIX);Alimentation stabilisée;;CASS0023;Approach Device;Approach Device;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-035 (PHOENIX);Alimentation stabilisée;;CASS0024;Approach Device;Approach Device;;Non soumis à l'étalonnage;;;;SANS;"
Instrument d'approche.          'Avant l'utilisation vérifier avec le multimètre étalonner si vous avez de la tension
"
ASS;ASS-035 (PHOENIX);Balance;;CASS0025;50/6100 g;± 5 g;;Réformé;;;;11405551;
ASS;ETABLI;Balance;;CASS0026;;;;Réformé;;;;2113366681;
ASS;A. SOYER;Multimètre;;CASS0027;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;En service;05/07/2022 00:00:00;05/07/2023 00:00:00;12 Mois;20550506;
ASS;ARMOIRE;Clé dynamométrique à déclenchement;;CASS0028;40/200 N.m;±4 %;Conforme;Alerte Etalonnage/Vérification;17/12/2020 09:30:10;17/12/2022 09:30:10;24 Mois;sans;
ASS;ZONE ADM;Testeur de fuite;;CASS0029;1,3E-09 / 2,5E-06mbar.L/s;± 20 %;;Réformé;;;;HLD1050697;
ASS;REGIS.HUTIN;Multimètre;;CASS0031;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;En service;12/04/2021 00:00:00;12/04/2023 00:00:00;24 Mois;non visible;
ASS;ARMOIRE;Clé dynamométrique à déclenchement;;CASS0032;5 / 25 N.m;± 4 %;Conforme;En service;22/07/2022 15:10:49;22/07/2025 15:10:49;36 Mois;/;
ASS;ARMOIRE;Afficheur de température;;CASS0033;0 / 1000 °C;± 2 °C;;Perdu;;;;"198-5643
03140059";
ASS;ASS-002;Sonde de température;;CASS0036;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-002;Sonde de température;;CASS0037;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-002;Sonde de température;;CASS0038;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-002;Sonde de température;;CASS0039;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-002;Sonde de température;;CASS0040;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-002;Sonde de température;;CASS0041;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-004;Sonde de température;;CASS0050;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-004;Sonde de température;;CASS0051;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-004;Manomètre à aiguille;;CASS0056;0/12bar;tolérance constructeur;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-027;Manomètre à aiguille;;CASS0057;0/2 bars;+/- 10 mbar;Conforme;En service;31/01/2022 08:25:05;31/01/2024 08:25:05;24 Mois;192766;
ASS;ASS-027;Manomètre à aiguille;;CASS0058;0/1 bar;tolérance constructeur;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-031;Manomètre à aiguille;;CASS0059;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-031;Sonde de température;;CASS0060;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-031;Sonde de température;;CASS0061;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-031;Axe numérique;;CASS0062;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-031;Axe numérique;;CASS0063;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-031;Axe numérique;;CASS0064;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-032;Sonde de température;;CASS0065;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-032;Sonde de température;;CASS0066;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-032;Sonde de température;;CASS0067;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-032;Sonde de température;;CASS0068;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-032;Manomètre à aiguille;;CASS0075;0/+4 bars;tolérance constructeur;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-032;Manomètre à aiguille;;CASS0076;0/+4 bars;tolérance constructeur;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-032;Manomètre à aiguille;;CASS0077;0/+4 bars;tolérance constructeur;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-032;Manomètre à aiguille;;CASS0078;0/+4 bars;tolérance constructeur;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-032;Manomètre à aiguille;;CASS0079;0/+10 bars;tolérance constructeur;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-032;Manomètre à aiguille;;CASS0080;0/+10 bars;tolérance constructeur;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-034;Manomètre à aiguille;;CASS0081;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-034;Manomètre à aiguille;;CASS0082;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-034;Refroidisseur;;CASS0083;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-034;Laser;;CASS0084;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-034;Capteur de déplacement;;CASS0085;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-038;Manomètre à aiguille;;CASS0086;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-038;Manomètre à aiguille;;CASS0087;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-038;Sonde de température;;CASS0088;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-038;Sonde de température;;CASS0089;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-038;Sonde de température;;CASS0090;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ASS-038;Sonde de température;;CASS0091;/;/;;Non soumis à l'étalonnage;;;;SANS;
ASS;ZONE ADM;Détecteur de fuite;;CASS0110;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;En service;20/04/2021 00:00:00;20/04/2023 00:00:00;24 Mois;173-4807;
ASS;ZONE ADM;Détecteur de fuite;;CASS0111;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;Conforme;En service;20/04/2021 00:00:00;20/04/2023 00:00:00;24 Mois;173-7884;
ASS;ASS-035 (PHOENIX);Capteur de pression;;CASS0112;0/10 bar;± 30 mbar;Conforme;Sommeil;04/07/2019 16:37:39;04/07/2021 16:37:39;24 Mois;SANS;
ASS;ARMOIRE;Clé dynamométrique à déclenchement;;CASS0113;;;;Réformé;;;;sans;
ASS;S. DELAOCHE;Pince ampèremétrique;;CASS0114;According Manufacturer SpecTo be defined;According Manufacturer SpecTo be defined;;Non soumis à l'étalonnage;;;;20780597;
ASS;ARMOIRE;Clé dynamométrique à déclenchement;;CASS0115;40/200 Nm;± 4 %;Conforme;En service;26/07/2022 10:57:01;26/07/2024 10:57:01;24 Mois;sans;
ASS;U. KOENIG;Pied à coulisse;;CASS0116;0 / 150 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;sans;
ASS;Y. SOUPLY;Pied à coulisse;;CASS0117;0 / 200 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;sans;
ASS;Y. SOUPLY;Pied à coulisse;;CASS0118;0 / 300 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;sans;
ASS;Y. SOUPLY;Pied à coulisse;;CASS0119;0 / 350 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;sans;
ASS;Y. SOUPLY;Jauge de profondeur;;CASS0120;0 / 300 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;SANS;
ASS;Y. SOUPLY;Comparateur à tige rentrante;;CASS0121;0 / 90;± 0,1 mm;;Non soumis à l'étalonnage;;;;SANS;
ASS;Y. SOUPLY;Micromètre d'extérieur;;CASS0122;75 / 100 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;SANS;
ASS;Y. SOUPLY;Micromètre d'extérieur;;CASS0123;50 / 75 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;SANS;
ASS;Y. SOUPLY;Micromètre d'extérieur;;CASS0124;25 / 50 mm;± 0,01 mm;Conforme;En service;02/06/2021 00:00:00;02/06/2023 00:00:00;24 Mois;SANS;
ASS;Y. SOUPLY;Micromètre d'extérieur;;CASS0125;0 / 25 mm;± 0,01 mm;Conforme;En service;02/06/2021 00:00:00;02/06/2023 00:00:00;24 Mois;SANS;
ASS;Y. SOUPLY;Trusquin;;CASS0126;0 / 300 mm;± 0,050 mm;;Non soumis à l'étalonnage;;;;SANS;
ASS;Y. SOUPLY;Jauge de profondeur;;CASS0127;0 / 300 mm;± 0,01 mm;;Non soumis à l'étalonnage;;;;SANS;
