Code;Identification;Code de l'instrument lié;Ident. de l'instrument lié;Valeur nominale;Unité;Désignation;Type de relation;Commentaire;Étalonné;Groupe;N° de voie
PLAST-60;CASS0155;PLAST-60;CASS0166;;;;;;1;/;
PLAST-60;CASS0198;PLAST-60;CASS0160;;;;;;1;/;
PLAST-60;CASS0198;PLAST-60;CASS0161;;;;;;1;/;
PLAST-60;CASS0199;PLAST-60;CASS0160;;;;Non spécifié;;1;/;
PLAST-60;CASS0199;PLAST-60;CASS0161;;;;Non spécifié;;1;/;
PLAST-60;CASS0200;PLAST-60;CASS0160;;;;Non spécifié;;1;/;
PLAST-60;CASS0200;PLAST-60;CASS0161;;;;Non spécifié;;1;/;
PLAST-60;CASS0201;PLAST-60;CASS0160;;;;Non spécifié;;1;/;
PLAST-60;CASS0201;PLAST-60;CASS0161;;;;Non spécifié;;1;/;
PLAST-60;CASS0202;PLAST-60;CASS0160;;;;Non spécifié;;1;/;
PLAST-60;CASS0202;PLAST-60;CASS0161;;;;Non spécifié;;1;/;
PLAST-60;CASS0203;PLAST-60;CASS0160;;;;Non spécifié;;1;/;
PLAST-60;CASS0203;PLAST-60;CASS0161;;;;Non spécifié;;1;/;
PLAST-60;CCAL0083;PLAST-60;CCAL0210;;;;;;1;/;
PLAST-60;CCAL0083;PLAST-60;CCAL0311;;;;;;1;/;
PLAST-60;CCAL0084;PLAST-60;CCAL0210;;;;;;1;/;
PLAST-60;CCAL0084;PLAST-60;CCAL0310;;;;;;1;/;
PLAST-60;CCAL0469;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0469;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0470;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0470;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0471;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0471;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0472;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0472;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0473;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0473;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0474;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0474;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0475;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0475;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0476;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0476;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0477;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0477;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0478;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0478;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0479;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0479;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0480;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0480;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0481;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0481;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0482;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0482;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0483;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0483;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0484;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0484;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0485;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0485;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0486;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0486;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0487;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0487;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0488;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0488;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0489;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0489;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0490;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0490;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0491;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0491;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0492;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0492;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0493;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0493;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0494;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0494;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0495;PLAST-60;CLAB0067;;;;Non spécifié;;1;/;
PLAST-60;CCAL0495;PLAST-60;CLAB0208;;;;Non spécifié;;1;/;
PLAST-60;CCAL0512;PLAST-60;CCAL0043;;;;Non spécifié;;1;/;
PLAST-60;CCAL0512;PLAST-60;CCAL0212;;;;Non spécifié;;1;/;
PLAST-60;CCAL0513;PLAST-60;CCAL0043;;;;Non spécifié;;1;/;
PLAST-60;CCAL0513;PLAST-60;CCAL0212;;;;Non spécifié;;1;/;
PLAST-60;CCAL0514;PLAST-60;CCAL0043;;;;Non spécifié;;1;/;
PLAST-60;CCAL0514;PLAST-60;CCAL0212;;;;Non spécifié;;1;/;
PLAST-60;CCAL0515;PLAST-60;CCAL0043;;;;Non spécifié;;1;/;
PLAST-60;CCAL0515;PLAST-60;CCAL0212;;;;Non spécifié;;1;/;
PLAST-60;CCAL0637;PLAST-60;CCAL0086;;;;;;1;/;
PLAST-60;CCAL0637;PLAST-60;CCAL0210;;;;;;1;/;
PLAST-60;CCAL0638;PLAST-60;CCAL0086;;;;;;1;/;
PLAST-60;CCAL0638;PLAST-60;CCAL0210;;;;;;1;/;
PLAST-60;CCAL0639;PLAST-60;CCAL0086;;;;;;1;/;
PLAST-60;CCAL0639;PLAST-60;CCAL0210;;;;;;1;/;
PLAST-60;CCAL0640;PLAST-60;CCAL0086;;;;Non spécifié;;1;/;
PLAST-60;CCAL0640;PLAST-60;CCAL0210;;;;Non spécifié;;1;/;
PLAST-60;CCAL0641;PLAST-60;CCAL0210;;;;Non spécifié;;1;/;
PLAST-60;CCAL0641;PLAST-60;CCAL0310;;;;Non spécifié;;1;/;
PLAST-60;CCAL0643;PLAST-60;CCAL0210;;;;Non spécifié;;1;/;
PLAST-60;CCAL0643;PLAST-60;CCAL0310;;;;Non spécifié;;1;/;
