Code;Identification;Domaine;Famille d'instrument;Désignation;Type;Nombre d'éléments;Fournisseur;Prix d'achat;Date d'achat;Constructeur;Référence constructeur;N° de série;Mode de lecture;Particularité;Matière;Etat d'utilisation;Commentaire;Valeur nominale;Unité;Référentiel;Résolution;Désignation littérale;N° d'immobilisation;Code instrument;Gestionnaire;Statut;Ident. secondaire;Localisation temporaire;Unité de la résolution;Localisation
PLAST-60;CAL0777;/;/;Electronic Control Unit Mototron;PCM0904;0;;0;;Faar industry;;FB4P50A0GMD2;;;;Non soumis à l'étalonnage;;;;;;/;;;M.CAUMARTIN;Moyen d'approche;;;;MECATRONIQUE / CAL / proto
PLAST-60;CASS0001;Dimensionnel;Variable;Vernier caliper;Universel;0;;;;Mitutoyo;SANS;9191705;;;;Non soumis à l'étalonnage;;0;;;0;0 / 150 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / H. Parmentier
PLAST-60;CASS0002;Température;Variable;Temperature Display;/;0;;;;SANS;SANS;309487;;;;En service;;;;;;-50 / +650 °C (Tol:± 2 °C);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0003;Température;Variable;Temperature Display;/;0;;;;SANS;SANS;813353;;;;En service;;;;;;-50 / +650 °C (Tol:± 2°C);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0004;Dimensionnel;Variable;Micrometer outside;/;0;;;;SANS;SANS;20376;;;;Réformé;;;;;;0 / 25 mm (Tol:± 0,005 mm);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0005;Dimensionnel;Variable;Vernier caliper;Universel;0;;;;SANS;SANS;1210242;;;;Réformé;;;;;;0 / 150 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Armoire
PLAST-60;CASS0006;Dimensionnel;Variable;Vernier caliper;Universel;0;;;;SANS;SANS;9189804;;;;Non soumis à l'étalonnage;;;;;;0 / 150 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / G. Thiant
PLAST-60;CASS0007;Dimensionnel;Variable;Vernier caliper;Universel;0;;;;SANS;SANS;12569719;;;;Réformé;;0;;;0;0 / 150 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / M. Nguyen
PLAST-60;CASS0008;Dimensionnel;Variable;Vernier caliper;Universel;0;;;;SANS;SANS;9189805;;;;Non soumis à l'étalonnage;;;;;;0 / 150 mm (Tol:± 0,01 mm);;;E.BOUCAUX;Moyen d'approche;;;;PROTOTYPE / ASS / A. Soyer
PLAST-60;CASS0010;Couple;Variable;Trigger torque spanner;Réglable;0;;;;Facom;A.402;M041202;;;;En service;;0;;;0;0,5 / 2,5 N.m (Tol:± 6 %);;;E.BOUCAUX;Instrument de mesure;;;;PROTOTYPE / ASS / Armoire
